tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt7918006	tvEpisode	Episode #5.43	Episode #5.43	0	2018	\N	\N	Sport,Talk-Show
tt7918008	tvEpisode	Episode #5.44	Episode #5.44	0	2018	\N	\N	Sport,Talk-Show
tt7918010	short	Cattle Whipped	Cattle Whipped	0	2013	\N	3	Comedy,Short
tt7918012	movie	Sierakowiak's Diary	Dziennik Sierakowiaka	0	2016	\N	57	Documentary
tt7918014	tvEpisode	Tweet tips for more happiness & health	Tweet tips for more happiness & health	0	2015	\N	\N	Talk-Show
tt7918016	tvEpisode	Intrigue	Intrigue	0	1950	\N	\N	Comedy,Drama
tt7918018	tvEpisode	A Dead End	A Dead End	0	2017	\N	\N	Comedy,Drama
tt7918020	tvEpisode	Seis	Seis	0	2016	\N	\N	Talk-Show
tt7918022	video	One Day a Week	One Day a Week	0	2017	\N	5	Documentary,Short
tt7918024	movie	Der grausame Gott? Gewalt, Religion und Kunst	Der grausame Gott? Gewalt, Religion und Kunst	0	2015	\N	\N	Documentary
tt7918026	tvEpisode	The Twitchells	The Twitchells	0	1950	\N	\N	Comedy,Drama
tt7918028	tvEpisode	Episode #1.188	Episode #1.188	0	1974	\N	\N	Comedy,Drama
tt7918030	tvEpisode	St. Louis Cardinals vs. New York Mets	St. Louis Cardinals vs. New York Mets	0	2018	\N	\N	Sport
tt7918032	tvEpisode	Wiggly Concert	Wiggly Concert	0	\N	\N	\N	Family,Music
tt7918034	tvEpisode	Wiggles Express	Wiggles Express	0	\N	\N	\N	Family,Music
tt7918038	tvEpisode	Houston Astros vs. Texas Rangers	Houston Astros vs. Texas Rangers	0	2018	\N	\N	Sport
tt7918040	tvEpisode	So Quick Bright Things Come to Confusion	So Quick Bright Things Come to Confusion	0	2017	\N	\N	Comedy,Drama
tt7918042	video	Yuliya	Yuliya	0	2005	\N	26	Comedy,Short
tt7918044	tvEpisode	Siete	Siete	0	2016	\N	\N	Talk-Show
tt7918046	tvEpisode	Women of the Big House	Women of the Big House	0	1950	\N	\N	Comedy,Drama
tt7918048	movie	Dabukku Thha Dongala Muttha	Dabukku Thha Dongala Muttha	0	1971	\N	126	\N
tt7918052	tvEpisode	Episode #1.15	Episode #1.15	0	1950	\N	\N	Comedy,Drama
tt7918054	tvEpisode	Episode dated 1 February 2018	Episode dated 1 February 2018	0	2018	\N	\N	News,Talk-Show
tt7918056	tvEpisode	Episode dated 2 February 2018	Episode dated 2 February 2018	0	2018	\N	\N	News,Talk-Show
tt7918058	tvEpisode	How to Properly Reharse	How to Properly Reharse	0	2017	\N	\N	Comedy
tt7918060	tvEpisode	Episode #1.16	Episode #1.16	0	1951	\N	\N	Comedy,Drama
tt7918062	tvEpisode	Episode #1.9359	Episode #1.9359	0	2018	\N	22	Drama,Romance
tt7918064	tvMiniSeries	Straight Guy/High Guy	Straight Guy/High Guy	0	2015	2015	\N	Comedy,Short
tt7918066	tvEpisode	Episode dated 24 January 2018	Episode dated 24 January 2018	0	2018	\N	\N	News,Talk-Show
tt7918068	short	Juramantul lui Hippocrate	Juramantul lui Hippocrate	0	2013	\N	13	Drama,Short
tt7918072	tvEpisode	How to choose a film director	How to choose a film director	0	2017	\N	\N	Comedy
tt7918074	tvEpisode	Barn Building Bedlam	Barn Building Bedlam	0	2018	\N	10	Animation,Comedy,Family
tt7918076	tvEpisode	Germany Kent, Twitter Tips	Germany Kent, Twitter Tips	0	2017	\N	\N	News
tt7918078	tvEpisode	Filming in Location	Filming in Location	0	2017	\N	\N	Comedy
tt7918080	tvMovie	The Lit Party	The Lit Party	0	2017	\N	\N	Comedy
tt7918082	tvEpisode	Who's Anna?	Who's Anna?	0	2017	\N	\N	Comedy
tt7918084	movie	Rosenkavalier: El cerco de la pasión	Rosenkavalier: El cerco de la pasión	0	\N	\N	\N	Drama
tt7918086	movie	Honra: Honor	Honra: Honor	0	\N	\N	75	Documentary,Sport
tt7918090	short	Tracker	Tracker	0	2017	\N	10	Drama,Short
tt7918092	tvEpisode	First Date	First Date	0	2018	\N	\N	Comedy
tt7918094	tvEpisode	Hollywood Club for Girls	Hollywood Club for Girls	0	1951	\N	\N	Comedy,Drama
tt7918096	tvEpisode	The End	The End	0	2018	\N	\N	Comedy
tt7918098	tvEpisode	Episode #1.189	Episode #1.189	0	1974	\N	\N	Comedy,Drama
tt7918100	tvEpisode	Episode dated 22 January 2018	Episode dated 22 January 2018	0	2018	\N	\N	News,Talk-Show
tt7918102	tvEpisode	Policewoman U.S.A.	Policewoman U.S.A.	0	1951	\N	\N	Comedy,Drama
tt7918104	tvEpisode	Episode #1.19	Episode #1.19	0	1951	\N	\N	Comedy,Drama
tt7918106	tvEpisode	Self-promotion	Self-promotion	0	2018	\N	\N	Comedy
tt7918108	movie	Room 16	Room 16	0	\N	\N	107	Mystery,Thriller
tt7918112	tvEpisode	Episode dated 24 January 2018	Episode dated 24 January 2018	0	2018	\N	\N	News
